,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9774,0.9731,0.9751,0.967,0.9853,0.9538
1,0.996,0.992,0.994,0.9932,0.9958,0.9889
2,0.9767,0.9333,0.9545,0.9544,0.9666,0.9123
3,0.996,0.99,0.993,0.9921,0.9948,0.9871
4,0.9935,0.9747,0.984,0.9822,0.987,0.971
5,0.9815,0.954,0.9675,0.9637,0.9759,0.9414
6,0.8794,0.948,0.9124,0.9019,0.966,0.8394
7,0.992,0.992,0.992,0.9918,0.9959,0.9843
8,0.9825,0.9629,0.9726,0.9704,0.9807,0.9489
9,0.9476,0.94,0.9438,0.9369,0.9668,0.8973
10,0.9665,0.98,0.9732,0.9699,0.9879,0.9493
11,1.0,1.0,1.0,1.0,1.0,1.0
12,0.9939,0.984,0.9889,0.9876,0.9916,0.9798
13,1.0,1.0,1.0,1.0,1.0,1.0
