,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9804,0.9762,0.9781,0.9687,0.9869,0.9596
1,0.998,0.998,0.998,0.9978,0.9989,0.9962
2,1.0,0.9556,0.9773,0.9773,0.9778,0.956
3,0.9881,0.998,0.993,0.9922,0.9983,0.9864
4,0.9894,0.981,0.9852,0.9835,0.9899,0.9726
5,0.944,0.978,0.9607,0.9559,0.9854,0.9257
6,0.8879,0.95,0.9179,0.908,0.9676,0.849
7,1.0,0.992,0.996,0.9959,0.996,0.9922
8,0.98,0.98,0.98,0.9783,0.9892,0.9619
9,0.9729,0.932,0.952,0.9465,0.9644,0.9142
10,0.9915,0.938,0.964,0.9602,0.9685,0.9369
11,1.0,1.0,1.0,1.0,1.0,1.0
12,0.994,0.988,0.991,0.9899,0.9936,0.9834
13,1.0,1.0,1.0,1.0,1.0,1.0
