,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9771,0.9628,0.9692,0.9672,0.9801,0.9431
1,0.998,1.0,0.999,0.9989,0.9999,0.998
2,1.0,0.9778,0.9888,0.9887,0.9889,0.978
3,0.9881,0.998,0.993,0.9922,0.9983,0.9864
4,0.9727,0.9768,0.9747,0.9718,0.9868,0.9525
5,0.9797,0.964,0.9718,0.9684,0.9808,0.9484
6,0.907,0.936,0.9213,0.9115,0.9621,0.856
7,0.992,0.992,0.992,0.9918,0.9959,0.9843
8,0.9797,0.9657,0.9727,0.9704,0.982,0.9488
9,0.9184,0.946,0.932,0.9236,0.9678,0.8748
10,0.9898,0.972,0.9808,0.9785,0.9854,0.9652
11,0.9767,1.0,0.9882,0.9882,0.9999,0.9767
12,1.0,0.97,0.9848,0.9831,0.985,0.9733
13,1.0,0.8182,0.9,0.9043,0.9091,0.8186
