,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9782,0.9686,0.9731,0.9692,0.9831,0.9498
1,0.998,1.0,0.999,0.9989,0.9999,0.998
2,1.0,0.9556,0.9773,0.9773,0.9778,0.956
3,1.0,0.99,0.995,0.9944,0.995,0.9911
4,0.9916,0.9916,0.9916,0.9906,0.9953,0.9841
5,0.9622,0.968,0.9651,0.9608,0.9817,0.935
6,0.9406,0.918,0.9291,0.9206,0.9554,0.8725
7,0.9843,1.0,0.9921,0.9919,0.9998,0.9843
8,0.9299,0.9857,0.957,0.9538,0.9898,0.9177
9,0.9544,0.962,0.9582,0.953,0.9782,0.9223
10,0.9618,0.956,0.9589,0.9538,0.9757,0.9243
11,1.0,0.9762,0.988,0.9879,0.9881,0.9764
12,0.9939,0.98,0.9869,0.9853,0.9896,0.9762
13,1.0,0.9091,0.9524,0.9534,0.9545,0.9093
