,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9711,0.9721,0.9713,0.9677,0.9848,0.9462
1,0.998,0.998,0.998,0.9978,0.9989,0.9962
2,1.0,0.9333,0.9655,0.9658,0.9667,0.934
3,0.994,0.996,0.995,0.9944,0.9976,0.9905
4,0.9689,0.9873,0.9781,0.9755,0.9918,0.958
5,0.9681,0.972,0.9701,0.9664,0.984,0.9441
6,0.9231,0.936,0.9295,0.9207,0.9632,0.871
7,0.992,0.992,0.992,0.9918,0.9959,0.9843
8,0.9826,0.9686,0.9755,0.9735,0.9836,0.9541
9,0.9771,0.94,0.9582,0.9534,0.9686,0.9251
10,0.9298,0.98,0.9542,0.9488,0.9854,0.9134
11,0.9762,0.9762,0.9762,0.976,0.988,0.9532
12,0.9979,0.958,0.9776,0.9751,0.9789,0.9606
13,0.9167,1.0,0.9565,0.9573,0.9999,0.9167
