,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9755,0.9652,0.9699,0.9672,0.9814,0.9439
1,0.994,0.996,0.995,0.9944,0.9976,0.9905
2,0.9574,1.0,0.9783,0.9783,0.9998,0.9574
3,0.996,0.996,0.996,0.9955,0.9978,0.9925
4,0.9957,0.9684,0.9818,0.9799,0.9839,0.9675
5,0.9715,0.956,0.9637,0.9593,0.9763,0.9336
6,0.9091,0.94,0.9243,0.9149,0.9642,0.8611
7,0.9921,1.0,0.996,0.9959,0.9999,0.9921
8,0.9689,0.98,0.9744,0.9723,0.9887,0.9511
9,0.9575,0.946,0.9517,0.9458,0.9704,0.9117
10,0.9529,0.972,0.9624,0.9577,0.983,0.9293
11,1.0,0.9048,0.95,0.9508,0.9524,0.9056
12,0.9859,0.98,0.9829,0.9809,0.9891,0.9684
13,1.0,0.9091,0.9524,0.9534,0.9545,0.9093
