,Precision,Recall,F1-score,MCC,ROC,PR
0,0.9807,0.9762,0.9783,0.9709,0.987,0.9597
1,0.996,0.998,0.997,0.9966,0.9988,0.9942
2,1.0,0.9333,0.9655,0.9658,0.9667,0.934
3,0.9842,0.994,0.9891,0.9877,0.996,0.9789
4,0.9852,0.9852,0.9852,0.9835,0.9918,0.9722
5,0.9547,0.97,0.9623,0.9576,0.9822,0.9294
6,0.9502,0.916,0.9328,0.9249,0.955,0.8796
7,0.992,0.992,0.992,0.9918,0.9959,0.9843
8,0.9774,0.9886,0.983,0.9815,0.9933,0.9671
9,0.936,0.966,0.9508,0.9447,0.9789,0.908
10,0.9798,0.968,0.9738,0.9707,0.9828,0.9519
11,1.0,1.0,1.0,1.0,1.0,1.0
12,0.9939,0.98,0.9869,0.9853,0.9896,0.9762
13,1.0,1.0,1.0,1.0,1.0,1.0
